0,1285
1,10840
2,7815
3,15
4,12429
5,14034
6,6248
7,2490
8,13697
9,5992
10,18062
11,15764
12,16648
13,18949
14,14003
15,3
16,13365
17,5196
18,14043
19,17739
20,6286
21,12365
22,2498
23,5965
24,3632
25,1732
26,3297
27,161
28,8790
29,52
30,8773
31,6369
32,13239
33,1585
34,17333
35,5594
36,11789
37,7210
38,11311
39,72
40,2540
41,973
42,7202
43,10091
44,5772
45,9373
46,11821
47,5910
48,175
49,14683
50,13838
51,3961
52,29
53,15241
54,7274
55,14105
56,11196
57,1500
58,2303
59,1209
60,17256
61,118
62,17995
63,144
64,1046
65,10874
66,14066
67,104
68,1223
69,4643
70,2637
71,2681
72,39
73,14549
74,4160
75,14064
76,10075
77,13259
78,10131
79,9131
80,14894
81,3825
82,5240
83,16668
84,17551
85,2312
86,14299
87,4512
88,12924
89,2617
90,14165
91,14086
92,10664
93,12933
94,13790
95,9131
96,6809
97,340
98,2265
99,9951
100,5945
101,18972
102,10131
103,17138
104,67
105,16768
106,18357
107,2447
108,11247
109,10330
110,4516
111,11959
112,14929
113,1702
114,18533
115,7188
116,7360
117,156
118,61
119,16893
120,8838
121,1056
122,9169
123,4064
124,11098
125,2464
126,16740
127,7226
128,6314
129,13412
130,3290
131,18140
132,2958
133,13307
134,3821
135,2593
136,8465
137,14748
138,6838
139,12055
140,16209
141,8728
142,446
143,11116
144,63
145,4578
146,6624
147,3435
148,15087
149,4193
150,2197
151,170
152,1520
153,14871
154,4605
155,1714
156,117
157,2356
158,172
159,12276
160,2193
161,27
162,16892
163,2522
164,326
165,2684
166,18742
167,15733
168,3411
169,6608
170,151
171,6858
172,158
173,4131
174,422
175,10124
176,4112
177,3534
178,18118
179,163
180,8868
181,17138
182,18650
183,5041
184,122
185,9358
186,2484
187,5580
188,16535
189,199
190,2937
191,8843
192,2268
193,12843
194,10851
195,9372
196,1932
197,4173
198,9756
199,189
200,13164
201,12998
202,14174
203,4892
204,17806
205,10200
206,198
207,1816
208,16392
209,12168
210,9288
211,221
212,6635
213,230
214,1936
215,7388
216,281
217,331
218,7384
219,297
220,5349
221,211
222,1762
223,15256
224,13131
225,15168
226,1307
227,17431
228,1815
